,dienophile,diene,ΔG TS_endo_1,ΔG TS_endo_2,ΔG TS_exo_1,ΔG TS_exo_2,ΔG Product_endo_1,ΔG Product_endo_2,ΔG Product_exo_1,ΔG Product_exo_2,pz_pop_C1_D,pz_pop_C2_D,pz_pop_C3_D,pz_pop_C4_D,LUMO_D,HOMO_D,Sigma p_1_D,Sigma p_4_D,Sigma p_2_D,Sigma p_3_D,NBO_1_D,NBO_2_D,NBO_3_D,NBO_4_D,sterio_D_1,sterio_D_2,sterio_D_3,sterio_D_4,Volume_D_1,Volume_D_4,Volume_D_2,Volume_D_3,pz_pop_C1_dPh,pz_pop_C2_dPh,LUMO_dPh,HOMO_dPh,Sigma_P_1dPh,Sigma_P_2dPh,NBO_1dPh,NBO_2_dPh,sterio_dPh_1,sterio_dPh_2,Volume_dPh_1,Volume_dPh_2,LUMO_D - HOMO_dPh,LUMO_dPh - HOMO_D,Min(TS_1),Min(TS_2),Min_TSـall,Min(TS_1) - Min(TS_2),Min(Product_1),Min(Product_2),Min(Product_1) - Min(Product_2),min_gap,target_raw,target_scaled
296,3_9,1_2_1_9,35.509,46.198,41.774,44.248,-7.622,-7.974,-11.181,-10.367,1.001,1.09,1.013,1.005,-1.757,-8.562,0.06,0.42,-0.2,0.66,0.288,0.235,-0.138,-0.089,1.08,2.25,1.02,1.1,98.427,291.269,642.238,164.182,0.875,1.158,-0.377,-8.19,-0.27,0.42,0.224,-0.481,1.53,1.1,334.486,291.269,6.433,8.185,35.509,44.248,35.509,-8.739,-11.181,-10.367,-0.814,6.433,35.509,-0.37186350826235887
54,7_7,5_2_6_2,48.241,48.241,50.641,50.641,3.724,3.724,7.357,7.357,1.181,1.039,1.017,0.963,-0.52,-7.942,-0.2,0.66,-0.2,0.0,-0.394,0.291,-0.122,-0.059,2.25,2.25,1.0,1.02,642.238,164.182,642.238,60.96,1.002,1.002,-0.542,-7.282,-0.01,-0.01,-0.228,-0.228,2.7,2.7,636.378,636.378,6.762,7.401,48.241,48.241,48.241,0.0,3.724,3.724,0.0,6.762,48.241,0.9093444249128987
542,5_6,1_4_2_2,44.391,42.993,42.92,42.944,-11.095,-13.891,-23.522,-16.456,1.089,1.034,0.919,1.102,-0.796,-8.041,0.06,0.66,-0.27,-0.2,0.201,0.233,0.191,0.035,1.08,1.53,2.25,1.02,98.427,164.182,334.486,642.238,0.973,1.035,1.346,-8.569,-0.2,0.0,-0.219,-0.469,2.25,1.0,642.238,60.96,7.773,9.387,42.92,42.944,42.92,-0.024,-23.522,-16.456,-7.066,7.773,42.92,0.3738977227117093
209,8_9,2_6_4_2,37.93,37.733,39.269,39.91,-4.979,-5.067,-7.782,-7.738,1.174,0.905,1.028,1.102,-1.659,-8.194,0.66,0.66,0.0,-0.27,-0.452,0.304,0.399,-0.214,1.02,1.0,1.53,1.02,164.182,164.182,60.96,334.486,0.968,0.942,-1.586,-9.126,0.45,0.42,-0.289,-0.275,1.75,1.1,467.957,291.269,7.467,6.609,37.93,37.733,37.733,0.197,-7.782,-7.738,-0.044,6.609,37.733,-0.14806469869734407
604,2_5,5_3_4_1,48.065,41.766,57.168,43.381,7.663,-17.413,-14.73,-17.804,1.021,1.08,0.866,1.112,0.356,-7.787,-0.2,0.06,0.06,-0.27,0.2,0.232,0.148,0.352,2.25,1.08,1.53,1.08,642.238,98.427,98.427,334.486,1.102,0.862,-0.393,-8.926,0.66,-0.2,-0.389,-0.1,1.02,2.25,164.182,642.238,9.282,7.394,48.065,41.766,41.766,6.299,-14.73,-17.804,3.074,7.394,41.766,0.2577719015615167
692,4_6,2_2_6_6,33.914,33.31,34.357,32.913,-19.955,-19.782,-20.629,-19.942,1.119,0.874,1.087,1.055,-0.827,-8.248,0.66,0.0,-0.2,0.0,-0.386,0.296,0.073,-0.276,1.02,2.25,1.0,1.0,164.182,60.96,642.238,60.96,0.975,1.037,1.376,-8.571,-0.17,0.0,-0.226,-0.472,1.5,1.0,185.535,60.96,7.743,9.624,33.914,32.913,32.913,1.001,-20.629,-19.942,-0.687,7.743,32.913,-0.633096291369724
662,3_3,2_1_6_3,33.348,33.348,34.098,34.098,-17.78,-17.78,-19.13,-19.13,1.066,0.99,1.158,0.913,-1.759,-7.82,0.66,-0.27,0.66,0.0,-0.317,0.308,-0.081,-0.385,1.02,1.02,1.0,1.53,164.182,334.486,164.182,60.96,1.074,1.074,1.92,-7.114,-0.27,-0.27,0.023,0.023,1.53,1.53,334.486,334.486,5.355,9.74,33.348,33.348,33.348,0.0,-19.13,-19.13,0.0,5.355,33.348,-0.5893226932758472
866,1_7,1_4_1_5,37.011,37.052,38.55,40.548,-19.421,-14.905,-21.573,-24.785,1.047,1.063,1.117,0.919,-0.709,-8.034,0.06,-0.2,-0.27,0.66,0.204,0.233,0.209,-0.237,1.08,1.53,1.02,2.25,98.427,642.238,334.486,164.182,0.988,1.077,-0.192,-7.615,0.06,-0.01,0.249,-0.355,1.08,2.7,98.427,636.378,6.905,7.842,37.011,37.052,37.011,-0.041,-21.573,-24.785,3.213,6.905,37.011,-0.22071880863706514
70,4_5,1_6_1_5,45.005,48.052,45.095,53.578,-13.827,6.869,-18.927,3.89,1.031,1.128,1.108,0.884,-0.65,-8.187,0.06,-0.2,0.0,0.66,0.266,0.225,-0.352,-0.2,1.08,1.0,1.02,2.25,98.427,642.238,60.96,164.182,0.999,1.017,1.462,-8.094,-0.17,-0.2,-0.228,-0.241,1.5,2.25,185.535,642.238,7.443,9.649,45.005,48.052,45.005,-3.047,-18.927,3.89,-22.817,7.443,45.005,0.5837091066789111
543,2_7,4_6_4_1,34.005,31.832,36.125,34.614,-12.341,-21.659,-14.756,-16.481,1.048,1.053,1.145,1.101,0.529,-7.533,-0.17,0.06,0.0,-0.27,0.17,0.225,0.194,-0.324,1.5,1.0,1.53,1.08,185.535,98.427,60.96,334.486,1.095,0.903,-1.149,-8.015,0.66,-0.01,-0.373,-0.136,1.02,2.7,164.182,636.378,8.544,6.384,34.005,31.832,31.832,2.174,-14.756,-21.659,6.903,6.384,31.832,-0.7418761983570354
