,dienophile,diene,ΔG TS_endo_1,ΔG TS_endo_2,ΔG TS_exo_1,ΔG TS_exo_2,ΔG Product_endo_1,ΔG Product_endo_2,ΔG Product_exo_1,ΔG Product_exo_2,pz_pop_C1_D,pz_pop_C2_D,pz_pop_C3_D,pz_pop_C4_D,LUMO_D,HOMO_D,Sigma p_1_D,Sigma p_4_D,Sigma p_2_D,Sigma p_3_D,NBO_1_D,NBO_2_D,NBO_3_D,NBO_4_D,sterio_D_1,sterio_D_2,sterio_D_3,sterio_D_4,Volume_D_1,Volume_D_4,Volume_D_2,Volume_D_3,pz_pop_C1_dPh,pz_pop_C2_dPh,LUMO_dPh,HOMO_dPh,Sigma_P_1dPh,Sigma_P_2dPh,NBO_1dPh,NBO_2_dPh,sterio_dPh_1,sterio_dPh_2,Volume_dPh_1,Volume_dPh_2,LUMO_D - HOMO_dPh,LUMO_dPh - HOMO_D,Min(TS_1),Min(TS_2),Min_TSـall,Min(TS_1) - Min(TS_2),Min(Product_1),Min(Product_2),Min(Product_1) - Min(Product_2),min_gap,target_raw,target_scaled
111,6_7,5_2_4_8,53.845,53.042,53.747,52.571,2.545,2.374,5.312,-1.533,1.005,1.027,0.827,1.21,0.156,-7.9,-0.2,0.45,-0.2,-0.27,-0.192,0.241,-0.057,0.438,2.25,2.25,1.53,1.75,642.238,467.957,642.238,334.486,1.0,1.0,-0.294,-7.636,0.0,-0.01,-0.429,-0.25,1.0,2.7,60.96,636.378,7.791,7.606,53.747,52.571,52.571,1.176,2.545,-1.533,4.079,7.606,52.571,1.3450678266289575
226,3_7,2_3_1_4,35.457,26.85,36.952,28.397,-7.977,-7.029,-8.491,-8.311,1.15,0.901,1.158,0.799,-1.5,-8.592,0.66,-0.17,0.06,0.66,-0.445,0.316,0.531,-0.278,1.02,1.08,1.02,1.5,164.182,185.535,98.427,164.182,0.967,1.124,0.024,-7.025,-0.27,-0.01,0.156,-0.362,1.53,2.7,334.486,636.378,5.525,8.617,35.457,26.85,26.85,8.607,-8.491,-8.311,-0.18,5.525,26.85,-1.2432096827333419
688,5_7,3_4_1_6,36.909,39.264,36.397,39.625,-23.89,-14.452,-26.134,-19.89,0.979,1.119,1.094,1.003,-0.681,-7.41,-0.27,0.0,-0.27,0.66,0.124,0.236,0.193,-0.223,1.53,1.53,1.02,1.0,334.486,60.96,334.486,164.182,1.04,1.094,0.231,-7.776,-0.2,-0.01,-0.199,-0.259,2.25,2.7,642.238,636.378,7.095,7.641,36.397,39.264,36.397,-2.868,-26.134,-19.89,-6.245,7.095,36.397,-0.2825049907741696
103,2_5,1_2_2_7,70.579,81.096,65.241,72.266,12.884,33.079,10.137,-0.541,1.103,1.094,0.994,1.053,0.27,-7.822,0.06,-0.01,-0.2,-0.2,0.232,0.221,-0.125,-0.004,1.08,2.25,2.25,2.7,98.427,636.378,642.238,642.238,1.102,0.862,-0.393,-8.926,0.66,-0.2,-0.389,-0.1,1.02,2.25,164.182,642.238,9.196,7.429,65.241,72.266,65.241,-7.025,10.137,-0.541,10.678,7.429,65.241,2.6200367642138236
421,1_2,2_1_4_2,37.721,38.514,39.524,39.188,-13.179,-12.646,-20.949,-13.876,1.017,1.043,0.937,1.127,-2.402,-8.792,0.66,0.66,0.66,-0.27,-0.218,0.326,-0.139,0.405,1.02,1.02,1.53,1.02,164.182,164.182,164.182,334.486,0.884,1.149,-0.36,-9.308,0.06,0.66,0.34,-0.479,1.08,1.02,98.427,164.182,6.906,8.432,37.721,38.514,37.721,-0.793,-20.949,-13.876,-7.073,6.906,37.721,-0.1492722462309683
419,6_7,5_1_4_7,36.621,31.387,41.563,33.708,-9.323,-10.751,-17.531,-13.857,0.95,1.11,1.011,1.052,-0.934,-7.255,-0.2,-0.01,0.66,-0.27,-0.069,0.266,-0.235,0.333,2.25,1.02,1.53,2.7,642.238,636.378,164.182,334.486,1.0,1.0,-0.294,-7.636,0.0,-0.01,-0.429,-0.25,1.0,2.7,60.96,636.378,6.701,6.961,36.621,31.387,31.387,5.234,-17.531,-13.857,-3.674,6.701,31.387,-0.7866560860622656
750,2_9,3_2_6_3,23.928,25.918,26.466,25.998,-15.234,-14.727,-13.441,-21.267,0.992,1.071,1.153,1.07,0.936,-6.74,-0.27,-0.27,-0.2,0.0,0.12,0.217,-0.128,-0.348,1.53,2.25,1.0,1.53,334.486,334.486,642.238,60.96,0.993,0.929,-1.74,-9.532,0.66,0.42,-0.296,-0.254,1.02,1.1,164.182,291.269,10.468,5.0,23.928,25.918,23.928,-1.99,-15.234,-21.267,6.033,5.0,23.928,-1.5372475071708303
586,3_9,1_3_3_7,40.016,40.309,41.561,41.977,-17.369,-13.943,-17.82,-17.552,1.057,1.001,1.027,1.039,-0.778,-7.534,0.06,-0.01,0.06,0.06,0.188,0.242,0.257,0.366,1.08,1.08,1.08,2.7,98.427,636.378,98.427,98.427,0.875,1.158,-0.377,-8.19,-0.27,0.42,0.224,-0.481,1.53,1.1,334.486,291.269,7.412,7.157,40.016,40.309,40.016,-0.293,-17.82,-17.552,-0.269,7.157,40.016,0.08167121957465677
780,2_6,5_1_4_1,34.149,32.188,32.845,32.711,-21.461,-25.557,-21.937,-22.123,1.047,1.063,1.117,0.919,-0.709,-8.034,-0.2,0.06,0.66,-0.27,0.204,0.233,0.209,-0.237,2.25,1.02,1.53,1.08,642.238,98.427,164.182,334.486,1.071,0.882,-0.457,-9.433,0.66,0.0,-0.38,-0.33,1.02,1.0,164.182,60.96,8.724,7.577,32.845,32.188,32.188,0.657,-21.937,-25.557,3.62,7.577,32.188,-0.7060522881928512
672,3_8,1_3_1_3,41.234,35.245,41.617,38.448,-10.619,-10.51,-13.526,-19.416,1.082,0.938,1.232,0.847,-0.437,-8.017,0.06,-0.27,0.06,0.66,0.165,0.238,0.325,-0.358,1.08,1.08,1.02,1.53,98.427,334.486,98.427,164.182,0.88,1.182,0.092,-8.147,-0.27,0.45,0.225,-0.489,1.53,1.75,334.486,467.957,7.709,8.108,41.234,35.245,35.245,5.989,-13.526,-19.416,5.891,7.709,35.245,-0.3984295540020912
