dienophile,diene,ΔG TS_endo_1,ΔG TS_endo_2,ΔG TS_exo_1,ΔG TS_exo_2,ΔG Product_endo_1,ΔG Product_endo_2,ΔG Product_exo_1,ΔG Product_exo_2,pz_pop_C1_D,pz_pop_C2_D,pz_pop_C3_D,pz_pop_C4_D,LUMO_D,HOMO_D,Sigma p_1_D,Sigma p_4_D,Sigma p_2_D,Sigma p_3_D,NBO_1_D,NBO_2_D,NBO_3_D,NBO_4_D,sterio_D_1,sterio_D_2,sterio_D_3,sterio_D_4,Volume_D_1,Volume_D_4,Volume_D_2,Volume_D_3,pz_pop_C1_dPh,pz_pop_C2_dPh,LUMO_dPh,HOMO_dPh,Sigma_P_1dPh,Sigma_P_2dPh,NBO_1dPh,NBO_2_dPh,sterio_dPh_1,sterio_dPh_2,Volume_dPh_1,Volume_dPh_2,LUMO_D - HOMO_dPh,LUMO_dPh - HOMO_D,Min(TS_1),Min(TS_2),Min_TSـall,Min(TS_1) - Min(TS_2),Min(Product_1),Min(Product_2),Min(Product_1) - Min(Product_2),min_gap
4_6,2_1_6_6,28.559,27.573,29.153,28.058,-31.454,-25.476,-26.138,-31.616,0.999,0.992,1.037,0.907,-2.1,-8.67,0.66,0.0,0.66,0.0,-0.266,0.311,-0.094,-0.281,1.02,1.02,1.0,1.0,164.182,60.96,164.182,60.96,0.975,1.037,1.376,-8.571,-0.17,0.0,-0.226,-0.472,1.5,1.0,185.535,60.96,6.471,10.046,28.559,27.573,27.573,0.986,-31.454,-31.616,0.162,6.471
6_6,1_3_6_3,32.819,32.819,32.819,32.819,-31.741,-31.741,-31.741,-31.741,1.058,1.009,1.164,0.982,0.496,-7.532,0.06,-0.27,0.06,0.0,0.134,0.231,0.31,-0.431,1.08,1.08,1.0,1.53,98.427,334.486,98.427,60.96,0.998,0.998,1.102,-9.105,0.0,0.0,-0.454,-0.454,1.0,1.0,60.96,60.96,9.601,8.634,32.819,32.819,32.819,0.0,-31.741,-31.741,0.0,8.634
1_7,1_3_6_6,33.439,35.636,34.856,35.881,-31.932,-30.705,-31.989,-32.199,1.046,1.054,1.064,1.019,-0.023,-8.077,0.06,0.0,0.06,0.0,0.16,0.233,0.3,-0.324,1.08,1.08,1.0,1.0,98.427,60.96,98.427,60.96,0.988,1.077,-0.192,-7.615,0.06,-0.01,0.249,-0.355,1.08,2.7,98.427,636.378,7.591,7.885,33.439,35.636,33.439,-2.197,-31.989,-32.199,0.21,7.591
5_8,1_4_1_6,37.058,35.72,36.094,36.521,-31.901,-16.842,-32.421,-32.31,1.005,1.088,1.105,0.971,-0.825,-8.21,0.06,0.0,-0.27,0.66,0.217,0.234,0.197,-0.232,1.08,1.53,1.02,1.0,98.427,60.96,334.486,164.182,0.871,1.076,-0.346,-8.89,-0.2,0.45,-0.115,-0.378,2.25,1.75,642.238,467.957,8.064,7.863,36.094,35.72,35.72,0.373,-32.421,-32.31,-0.111,7.863
3_3,2_1_3_1,28.552,28.552,29.824,29.824,-23.272,-23.272,-32.557,-32.557,0.964,1.106,1.02,0.989,-2.28,-8.628,0.66,0.06,0.66,0.06,0.242,0.248,0.306,-0.136,1.02,1.02,1.08,1.08,164.182,98.427,164.182,98.427,1.074,1.074,1.92,-7.114,-0.27,-0.27,0.023,0.023,1.53,1.53,334.486,334.486,4.834,10.548,28.552,28.552,28.552,0.0,-32.557,-32.557,0.0,4.834
4_4,1_3_1_9,28.715,28.715,31.416,31.416,-30.491,-30.491,-32.626,-32.626,0.969,1.101,1.025,0.941,-2.24,-8.563,0.06,0.42,0.06,0.66,0.238,0.247,0.308,-0.155,1.08,1.08,1.02,1.1,98.427,291.269,98.427,164.182,1.012,1.013,1.714,-8.088,-0.17,-0.17,-0.243,-0.243,1.5,1.5,185.535,185.535,5.849,10.277,28.715,28.715,28.715,0.0,-32.626,-32.626,0.0,5.849
1_7,1_4_1_1,33.682,33.975,35.283,36.161,-31.978,-32.164,-33.515,-32.949,0.964,1.146,1.088,1.032,-0.678,-8.258,0.06,0.06,-0.27,0.66,0.373,0.252,-0.323,0.204,1.08,1.53,1.02,1.08,98.427,98.427,334.486,164.182,0.988,1.077,-0.192,-7.615,0.06,-0.01,0.249,-0.355,1.08,2.7,98.427,636.378,6.936,8.066,33.682,33.975,33.682,-0.293,-33.515,-32.949,-0.566,6.936
1_6,1_1_3_5,31.464,32.869,31.714,33.884,-32.168,-28.503,-28.244,-33.039,0.879,1.164,0.965,1.059,-0.779,-8.281,0.06,-0.2,0.66,0.06,0.377,0.252,-0.328,0.408,1.08,1.02,1.08,2.25,98.427,642.238,164.182,98.427,0.983,1.082,1.33,-8.949,0.06,0.0,0.223,-0.568,1.08,1.0,98.427,60.96,8.17,9.611,31.464,32.869,31.464,-1.405,-32.168,-33.039,0.87,8.17
4_6,1_1_6_6,29.918,30.353,30.168,31.356,-33.757,-27.367,-32.522,-33.776,0.887,1.146,1.081,1.045,-0.673,-8.478,0.06,0.0,0.66,0.0,0.357,0.246,-0.293,-0.257,1.08,1.02,1.0,1.0,98.427,60.96,164.182,60.96,0.975,1.037,1.376,-8.571,-0.17,0.0,-0.226,-0.472,1.5,1.0,185.535,60.96,7.897,9.854,29.918,30.353,29.918,-0.436,-33.757,-33.776,0.019,7.897
1_1,3_2_1_6,39.322,39.322,38.131,38.131,-25.911,-25.911,-33.968,-33.968,0.96,1.116,1.091,1.052,-0.366,-7.547,-0.27,0.0,-0.2,0.66,0.167,0.23,-0.137,-0.177,1.53,2.25,1.02,1.0,334.486,60.96,642.238,164.182,1.061,1.061,1.545,-8.806,0.06,0.06,0.124,0.124,1.08,1.08,98.427,98.427,8.44,9.092,38.131,38.131,38.131,0.0,-33.968,-33.968,0.0,8.44
1_2,1_4_1_6,32.053,32.677,33.958,34.158,-33.239,-26.474,-33.726,-34.031,1.005,1.088,1.105,0.971,-0.825,-8.21,0.06,0.0,-0.27,0.66,0.217,0.234,0.197,-0.232,1.08,1.53,1.02,1.0,98.427,60.96,334.486,164.182,0.884,1.149,-0.36,-9.308,0.06,0.66,0.34,-0.479,1.08,1.02,98.427,164.182,8.483,7.849,32.053,32.677,32.053,-0.625,-33.726,-34.031,0.305,7.849
1_1,1_6_2_3,36.958,36.958,36.411,36.411,-25.415,-25.415,-34.269,-34.269,1.076,1.138,1.088,0.986,0.785,-7.128,0.06,-0.27,0.0,-0.2,0.23,0.217,-0.35,-0.139,1.08,1.0,2.25,1.53,98.427,334.486,60.96,642.238,1.061,1.061,1.545,-8.806,0.06,0.06,0.124,0.124,1.08,1.08,98.427,98.427,9.591,8.673,36.411,36.411,36.411,0.0,-34.269,-34.269,0.0,8.673
