#{"t_start": 1768248100.72864, "env_id": "DielsAlderReact-v0"}
r,l,t
0.043869,20,12.480713
0.041863,20,12.495712
0.044196,20,12.510342
0.043952,20,12.525527
0.044227,20,12.540008
0.04163,20,12.554264
0.044229,20,12.569293
0.043469,20,12.584119
0.044015,20,12.598477
0.04211,20,12.612325
0.041988,20,12.626599
0.04291,20,12.641084
0.04274,20,12.698347
0.043949,20,12.71318
0.044178,20,12.728022
0.044329,20,12.76259
0.04163,20,12.777663
0.043887,20,12.792205
0.04163,20,12.807236
0.042043,20,12.821393
0.04163,20,12.836173
0.043207,20,12.851051
0.04228,20,12.865571
0.042662,20,12.880304
0.044164,20,12.93791
0.043412,20,12.953113
0.044202,20,12.968551
0.04163,20,12.98275
0.04163,20,12.997103
0.042692,20,13.012137
0.04163,20,13.026672
0.04271,20,13.041156
0.043338,20,13.055897
0.012619,20,13.060792
0.04194,20,13.075831
0.04417,20,13.091357
0.044094,20,13.106122
0.042006,20,13.160413
0.04163,20,13.175017
0.042249,20,13.189994
0.043087,20,13.204959
0.043953,20,13.219323
0.043503,20,13.233938
0.042635,20,13.249315
0.042044,20,13.264603
0.04163,20,13.279305
0.042622,20,13.294043
0.042784,20,13.308554
0.04163,20,13.323794
0.043309,20,13.338529
0.042319,20,13.393313
0.042082,20,13.407527
0.044225,20,13.422652
0.042034,20,13.437176
0.042646,20,13.452285
0.04163,20,13.467246
0.042485,20,13.482343
0.043119,20,13.496722
0.042103,20,13.511379
0.04163,20,13.526573
0.04163,20,13.541263
0.04163,20,13.556393
0.043555,20,13.571133
0.04163,20,13.626116
0.043459,20,13.641971
0.042617,20,13.656808
0.042514,20,13.671709
0.04163,20,13.686696
0.04356,20,13.70122
0.04163,20,13.716404
0.042906,20,13.731823
0.042557,20,13.746156
0.04163,20,13.76104
0.041716,20,13.775524
0.042496,20,13.790512
0.04205,20,13.804949
0.043399,20,13.859457
0.04163,20,13.874551
0.041705,20,13.88913
0.043637,20,13.903561
0.04163,20,13.917876
0.043358,20,13.932665
0.043906,20,13.947058
0.04163,20,13.961979
0.044307,20,13.98668
0.04163,20,14.001573
0.043524,20,14.016133
0.042738,20,14.029854
0.043952,20,14.086304
0.042247,20,14.101126
0.042132,20,14.115158
0.044092,20,14.129508
0.043386,20,14.144355
0.043115,20,14.158935
0.041961,20,14.172726
0.04163,20,14.187198
0.04163,20,14.20174
0.044133,20,14.215878
0.04163,20,14.230294
0.04163,20,14.244489
0.043003,20,14.258883
0.04163,20,14.310733
0.042975,20,14.325187
0.04279,20,14.339054
0.04163,20,14.353473
0.042429,20,14.367656
0.043443,20,14.381562
0.04163,20,14.395808
0.042509,20,14.409885
0.042038,20,14.423646
0.04163,20,14.437385
0.043737,20,14.451349
0.04163,20,14.465492
0.043626,20,14.479806
0.041694,20,14.53076
0.04163,20,14.545135
0.04163,20,14.559591
0.041952,20,14.573981
0.043986,20,14.587486
0.0443,20,14.60339
0.041728,20,14.617049
0.043303,20,14.631192
0.044172,20,14.645428
0.043676,20,14.659198
0.044095,20,14.673307
0.04163,20,14.687571
0.043726,20,14.701763
0.043608,20,14.752254
0.042983,20,14.766404
0.04163,20,14.780799
0.043171,20,14.795159
0.04163,20,14.809099
0.04163,20,14.822888
0.04163,20,14.837276
0.043259,20,14.851291
0.041987,20,14.865404
0.042141,20,14.880461
0.043249,20,14.894031
0.044198,20,14.90792
0.04163,20,14.9222
0.043919,20,14.976122
0.042336,20,14.990233
0.042065,20,15.004294
0.043792,20,15.018349
0.042886,20,15.032279
0.04163,20,15.046467
0.043814,20,15.060467
0.04163,20,15.074314
0.042545,20,15.089099
0.044039,20,15.103169
0.043182,20,15.116869
0.042087,20,15.131327
0.04163,20,15.185641
0.043576,20,15.199894
